Total number of intervals = 90
Timestamp start: 1715943774206
Timestamp end: 1715944674861

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      450.4   498.4    63.8   130.2   151.0   288.1   373.9   439.6   505.2   643.1  1045.1  1651.3  2233.9  2954.3 10179.2  77982.5    77998
read      773.9   736.0    68.9   206.5   237.3   444.8   686.0  1418.3  1518.2  1626.5  1722.8  1851.6  2696.1  5664.6 19068.5  97503.3    97625
read      404.2   513.0    68.9   123.4   140.2   306.8   424.6   511.3   576.8   645.4   733.0   903.9  1608.5  5745.0 20366.1  23769.0    23781
read      417.4   457.9    63.8   125.3   143.9   273.8   355.4   417.5   475.6   589.5   999.3  1477.6  1947.6  2448.8 10857.2  66795.1    66723
read      400.2   298.8    63.8   126.0   144.6   310.7   437.9   542.5   625.4   708.5   801.3   927.0  1134.7  1459.2  7707.2  31164.7    31016
read      415.2   387.3    63.8   126.0   144.3   285.4   380.2   462.2   550.6   757.7  1010.8  1228.4  1487.4  1809.2  9763.5  47444.5    47394
read      766.1   781.1    74.4   191.3   229.6   433.7   661.2  1403.1  1504.0  1620.9  1720.5  1856.2  2729.2  8011.0 20101.5  95310.7    95335
read      361.5   809.7    80.4   139.3   162.7   284.0   324.9   349.0   368.5   395.0   438.9   633.7  1710.3 11064.8 32157.9   5304.1     5252
read      419.8   445.6    63.8   125.8   144.8   275.3   358.8   422.8   485.2   604.5  1008.2  1463.8  1937.3  2622.8 10366.1  65829.1    65908
read      360.5   297.2    68.9   130.4   150.6   334.1   420.7   470.6   504.3   538.6   579.5   636.1   765.9  3182.5 12938.9  16866.0    16889
read      418.3   375.2    63.8   126.0   144.6   293.5   400.8   496.9   608.3   775.5   963.6  1158.2  1415.5  1798.9  9846.3  42960.7    42912
read      782.5   788.7    68.9   207.8   238.6   448.7   691.2  1416.8  1517.9  1632.5  1729.0  1865.2  2739.9  8673.6 20436.6  99975.1    99898
read      417.5   526.7    68.9   122.2   139.4   302.1   425.5   521.4   600.1   686.5   800.3  1011.0  1692.7  4193.6 21868.6  26325.5    26385
read      379.8   287.3    68.9   127.4   147.3   340.7   448.9   513.7   557.1   602.5   653.8   729.5   894.4  1519.5  9968.7  22620.3    22616

