Total number of intervals = 137Average QPS expected = 51478
Timestamp start: 1716049720770
Timestamp end: 1716050621320

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target    
read      417.0   318.1   160.7   214.7   229.2   352.8   448.5   509.8   553.0   601.7   655.9   735.5  1204.8  3527.7  9636.7  47428.3  47394
read      411.2   529.9   160.7   216.7   232.7   353.9   419.2   459.7   491.5   530.7   582.4   668.6  1096.9  7011.8 29334.4  95226.5  95335
read      881.2  2881.9  173.5   241.5   278.2   426.5   475.7   503.0   525.0   550.2   598.9  1713.3 12695.0 36200.6 49718.0  5254.1    5252
read      432.2   541.8   148.8   214.0   229.1   349.8   428.6   480.0   521.4   572.2   635.9   752.9  1724.1  6621.1 28149.4  65660.9  65908
read      653.9  1807.7   160.7   218.8   234.9   452.2   544.5   597.1   636.4   685.0   751.9   905.9  6191.3 31068.6 43934.4  16957.4  16889
read      432.8   461.1   160.7   213.4   228.0   353.5   459.1   523.7   567.0   613.0   665.7   745.5  1401.7  6095.2 13855.9  42834.1  42912
read      425.2   540.6   160.7   221.5   239.5   366.7   432.6   472.3   503.2   540.9   592.1   688.5  1279.5  7302.1 28005.4  99952.4  99898
read      490.3   741.3   160.7   214.0   228.9   408.3   522.7   573.9   609.2   650.3   713.3   855.0  1643.8  8764.6 32154.7  26445.6  26385
read      638.6  1455.2   160.7   217.3   233.7   450.5   569.6   639.7   693.4   751.6   824.2   956.2  6864.9 25954.5 36723.0  22587.9  22616
read      425.1   535.6   148.8   212.3   226.7   344.9   433.7   494.6   539.2   588.4   643.3   732.8  1428.4  7261.0 23501.8  50692.1  50605
read      409.4   450.5   160.7   216.0   231.6   351.6   418.9   460.1   492.1   531.6   585.2   679.8  1481.9  5735.9 18067.6  90199.2    90283
read      509.3   792.4   160.7   211.8   227.0   408.5   527.7   582.1   619.2   663.9   731.7   889.7  2541.5  9043.3 32042.3  26364.8    26273
read      417.4   362.8   160.7   212.2   226.8   347.5   442.8   505.0   549.1   598.1   653.9   736.7  1288.9  4039.1 10056.7  48586.7    48521
read      442.2   535.0   160.7   211.5   226.1   359.6   482.6   541.6   579.3   619.4   668.8   759.5  1362.3  6787.6 28485.6  34202.9    34058
read      401.0   396.2   160.7   213.4   228.3   342.7   412.5   456.1   490.7   534.5   592.2   689.3  1360.5  4145.5 12238.6  75501.8    75648
read      660.7  1510.0   160.7   218.5   235.1   459.9   576.0   642.0   689.9   743.6   815.1   986.7  6595.7 28356.2 36851.0  19519.2    19482
read      568.6  1050.5   160.7   223.7   242.4   468.7   573.3   626.4   663.3   706.0   760.9   853.0  3529.4 11904.2 36621.4  15179.7    15054
read      433.8   558.4   148.8   217.9   232.9   356.6   432.3   479.0   515.6   561.7   626.2   749.4  1781.2  6380.0 30784.4  75753.2    75754
read      517.2  1239.2   173.5   244.8   281.8   417.8   461.9   487.2   505.2   530.2   563.4   632.2  2590.1 21732.1 41442.7   5188.8     5187
read      490.6   368.2   160.7   221.0   238.9   461.7   564.1   616.6   651.4   690.4   738.9   812.0  1086.1  4325.2 12409.4  17557.4    17656
read      445.0   587.1   148.8   219.4   237.0   370.5   440.6   485.5   520.2   563.6   626.0   749.6  1749.5  7275.2 30833.2  96341.4    96343
read      439.4   426.1   148.8   211.2   225.9   356.6   478.5   541.0   581.3   623.6   673.7   766.9  1468.5  5443.0 13084.0  36646.1    36665
read      439.9   506.5   148.8   219.1   235.8   365.6   438.2   484.3   520.5   566.8   631.8   777.2  1719.2  6348.8 19109.2  85181.4    85269
read      456.2   509.9   160.7   214.3   228.9   378.3   503.2   558.2   594.6   634.0   686.5   804.7  1364.8  6436.2 22677.5  31478.3    31525
read      402.6   342.2   160.7   212.7   227.0   341.2   417.3   466.9   506.7   554.9   615.7   701.4  1330.3  3915.2 10214.4  61684.5    61798
read      597.8  1405.5   160.7   221.9   239.5   456.6   539.7   582.5   611.7   642.3   687.0   778.2  5884.1 28136.2 37807.6  12201.8    12253
read      494.5   765.0   160.7   214.3   229.4   411.8   523.8   576.3   612.6   655.5   720.7   848.6  1591.9  9949.4 30141.5  25574.2    25710
read      416.7   439.6   160.7   216.4   231.6   352.4   423.1   466.5   501.0   543.6   601.8   706.6  1570.0  6150.4 11836.0  80009.5    79937
read      542.6  1409.4   160.7   229.1   254.1   417.9   465.3   492.7   511.7   537.8   574.3   637.9  4562.1 29852.7 39143.5   7299.4     7271
read      416.6   513.9   148.8   213.3   229.4   350.5   418.7   460.9   494.0   535.6   591.6   691.1  1603.2  6424.2 24079.0  85679.4    85861
read      411.7   476.9   160.7   218.9   235.3   359.5   426.6   466.3   497.3   535.2   585.2   668.7  1018.8  6338.6 15876.0  91348.3    91467
read      394.1   332.1   148.8   213.2   228.1   343.4   416.0   460.3   494.3   535.9   588.8   670.2  1033.2  3918.8 10007.3  72103.2    72217
read      406.6   276.2   160.7   211.6   226.3   359.5   481.4   530.1   559.4   589.8   625.1   672.6   768.6  1688.7 11261.5  31079.2    31080
read      363.4   192.4   148.8   210.2   224.6   331.1   396.2   434.7   464.7   500.9   545.2   610.8   730.4  1244.8  7844.8  76914.1    76878
read      359.8   165.6   148.8   210.6   225.0   330.3   393.3   429.7   457.5   491.0   534.1   596.8   731.1  1165.1  5733.8  84815.8    84584
read      426.7   323.6   160.7   223.6   240.3   431.3   483.8   508.0   526.2   544.8   571.7   611.3   723.5  4698.6 13697.9  12489.5    12492
read      375.6   203.2   160.7   210.4   224.9   335.5   410.6   460.2   497.8   540.3   588.3   647.7   746.7  1123.2  8254.9  57205.0    57106
read      350.8   163.3   160.7   210.4   225.0   325.9   382.2   414.4   438.1   468.1   507.1   568.2   687.6   973.0  7718.4  96020.8    96245
read      418.2   462.9   173.5   236.2   262.3   404.0   439.8   458.9   470.9   489.5   508.7   547.1   653.7  6353.8 18294.9   6753.0     6791
read      362.1   175.7   148.8   210.7   225.7   334.1   395.4   430.6   457.2   489.3   531.7   595.3   742.4  1233.9  7677.9  90391.2    90728
read      430.8   478.8   173.5   249.5   286.0   395.8   429.8   450.4   465.3   486.2   514.4   579.9   936.4  8225.1 15779.0   5163.0     5151
read      369.5   194.1   148.8   211.0   226.1   335.5   400.1   438.7   468.1   504.4   550.5   623.3   801.9  1518.0  7664.6  82843.2    82969
read      395.3   233.1   148.8   211.3   226.1   345.3   445.0   503.5   539.9   578.0   620.0   676.6   814.4  1496.9  9492.8  42440.5    42635
read      363.4   152.9   148.8   215.8   231.2   339.1   396.2   429.3   454.7   485.3   526.0   587.3   729.8  1061.7  4187.1  99270.5    99337
read      363.4   178.2   148.8   212.9   228.0   334.5   393.4   428.4   455.2   487.7   530.4   594.3   762.8  1516.3  7643.5  95215.6    95192
read      373.1   186.5   148.8   211.0   225.7   337.2   407.6   451.1   483.6   523.0   571.4   636.6   774.4  1341.3  6594.5  69257.4    69200
read      388.9   207.2   160.7   210.4   225.2   341.9   430.2   489.5   529.3   570.8   616.1   674.2   802.3  1373.4  7890.4  49566.5    49459
read      404.7   250.9   148.8   208.3   223.1   358.5   485.4   531.9   559.8   588.7   623.3   671.5   777.9  1951.4 10008.9  29165.9    29055
read      370.7   182.4   148.8   208.8   223.4   332.7   404.2   450.7   486.0   527.9   576.6   638.0   747.1  1218.9  6398.9  64424.1    64324
read      416.5   431.2   173.5   245.6   277.3   394.3   427.5   446.0   459.8   474.8   500.5   543.8   673.8  8150.8 17671.4   5738.6     5705
read      358.6   163.1   148.8   209.8   224.3   328.2   391.4   428.2   456.3   490.0   533.3   595.3   725.2  1306.3  5548.7  84497.3    84816
read      410.1   235.5   160.7   213.5   228.1   388.5   492.3   530.0   553.1   579.0   609.2   649.6   744.7  1634.3  8363.0  23674.2    23714
