Total number of intervals = 450 
Timestamp start: 1715967267448
Timestamp end: 1715968168362

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      348.8   462.5    74.4   124.2   141.8   311.4   387.8   431.1   461.9   496.5   541.6   634.1  1041.0  2952.3 30698.7  22732.0    22616
read      393.3   462.3    74.4   124.6   143.7   316.7   396.0   445.9   486.8   539.3   618.9   895.5  1757.3  5652.5 15630.0  50936.0    50605
read      380.7   447.6    74.4   133.2   155.6   323.0   400.5   449.3   487.8   537.0   604.7   721.3  1510.1  4914.9 12851.8  90017.5    90283
read      537.4  1456.5    74.4   122.6   140.8   321.7   442.2   530.5   621.4   733.9   857.9  1030.9  4311.8 30393.4 37329.7  26189.0    26273
read      398.5   529.0    74.4   125.1   143.9   317.5   396.0   446.1   485.6   534.5   606.0   911.2  1859.7  6653.1 14811.0  48414.0    48521
read      395.0   603.0    68.9   122.5   141.0   303.5   378.3   431.8   475.1   532.5   639.4   966.2  1726.1  7402.1 20828.6  33985.0    34058
read      326.3   244.6    68.9   124.7   143.0   295.1   368.3   413.4   446.6   484.9   536.0   609.7   798.0  2156.6  9408.4  75605.5    75648
read      308.4   274.5    68.9   122.6   138.8   290.4   354.5   388.0   412.7   441.2   480.1   544.7   718.7  2946.0 11551.1  19605.5    19482
read      547.2  1647.1    74.4   125.6   144.7   333.3   414.8   468.7   507.9   558.5   626.4   813.1  6956.0 29142.4 46009.6  15052.0    15054
read      419.9   495.1    68.9   131.7   154.1   327.4   405.6   459.3   503.3   562.5   648.1   941.6  2162.0  5618.6 13182.2  76133.0    75754
read      689.5  2814.7    80.4   143.3   173.5   292.7   334.7   360.8   381.8   409.7   460.5   927.7 10940.9 32256.7 37894.9   5221.0     5187
read      671.0  2159.0    74.4   123.0   143.5   343.9   466.5   543.4   592.1   647.0   721.2   911.0 10512.2 32194.6 39633.9  17625.5    17656
read      466.4   432.1    74.4   145.7   176.7   365.8   439.0   498.5   559.5   647.8   763.8  1436.9  1996.4  3231.2 10739.1  96294.0    96343
read      376.5   366.1    74.4   122.7   140.9   302.8   375.0   427.1   468.0   527.5   640.7   975.8  1421.5  4855.1 11635.4  36827.0    36665
read      338.8   200.9    68.9   128.5   149.4   309.9   382.1   426.3   460.8   503.7   561.8   652.4   846.8  1532.8  5637.1  85588.0    85269
read      468.6  1111.4    74.4   122.7   141.6   301.8   384.2   450.6   511.3   634.5   853.3  1076.3  3063.7 13245.5 37005.7  31490.5    31525
read      332.5   239.2    74.4   126.8   144.8   307.4   381.8   425.7   458.1   495.6   542.0   612.6   798.8  1847.2  6803.7  61803.5    61798
read      524.2  1714.5    74.4   126.6   146.7   329.2   402.6   452.6   487.7   526.9   576.5   674.4  6108.4 30883.8 42614.1  12468.5    12253
read      604.9  1733.3    68.9   122.5   142.0   318.0   464.7   616.5   713.5   803.2   905.0  1058.5  7837.3 30809.6 40246.0  25752.0    25710
read      466.9   593.5    74.4   135.5   159.5   339.4   418.2   478.5   536.2   617.5   744.4  1545.9  2161.7  4702.0 21730.4  79880.5    79937
read      578.5  2116.9    74.4   134.6   161.8   304.0   352.6   381.7   404.3   435.5   479.7   603.4  9263.8 31895.7 40079.1   7348.0     7271
read      408.9   578.2    74.4   133.8   156.5   330.2   403.5   453.2   494.8   552.4   636.6   787.8  1914.2  7558.7 22697.9  85236.0    85861
read      352.2   218.2    68.9   132.6   154.6   319.3   395.8   441.9   476.5   520.1   579.6   676.1   893.9  2109.2  5847.0  91115.5    91467
read      336.2   228.0    74.4   126.9   145.3   306.9   382.2   426.6   459.9   500.5   553.1   633.5   849.3  2006.0  7687.3  72495.5    72217
read      454.9  1024.3    68.9   122.4   140.8   305.7   398.4   468.0   530.9   640.7   826.5  1034.0  2030.5 10599.6 31975.0  31217.5    31080
read      336.0   222.0    74.4   127.5   146.0   306.1   380.0   425.2   460.0   502.3   557.5   643.7   844.0  1841.9  6421.0  77095.5    76878
read      340.5   265.4    68.9   128.9   149.0   307.4   381.1   426.4   461.4   504.3   561.3   648.6   848.2  2017.5  9335.1  84506.0    84584
read      535.5  1825.5    74.4   122.9   142.1   314.2   387.8   439.6   478.0   521.7   576.0   683.0  6457.6 31944.9 37720.9  12664.0    12492
read      387.8   521.5    68.9   127.1   146.5   316.4   394.9   442.8   479.1   525.8   590.6   774.9  1786.3  6311.0 18606.6  56597.5    57106
read      345.1   212.0    68.9   133.3   155.1   313.3   387.7   432.4   466.8   510.9   571.7   664.3   855.9  1594.7  7392.0  96460.0    96245
read      565.3  2037.1    80.4   137.1   163.8   304.3   350.8   379.3   403.1   431.4   473.2   582.4  8729.6 32226.5 42735.2   6927.0     6791
read      405.8   415.3    68.9   134.9   158.7   329.7   404.6   455.9   498.8   557.0   646.7   831.7  1890.0  3312.2 11878.6  90454.5    90728
read      562.8  2346.2    80.4   139.8   171.5   284.9   322.2   345.2   363.0   384.8   418.8   547.8  7069.9 32492.2 37519.9   5186.0     5151
read      437.8   513.7    68.9   133.6   157.2   335.7   411.8   467.7   519.9   591.3   699.2  1399.8  2022.1  3530.6 16524.1  82074.0    82969
read      373.8   353.7    68.9   124.9   144.2   310.9   388.7   437.7   477.9   531.7   613.1   884.7  1464.2  2928.6  9833.3  42763.0    42635
read      365.6   256.0    68.9   141.1   165.4   327.9   403.9   451.4   487.4   533.8   594.4   697.3   939.2  2617.8  6641.4  99305.5    99337
read      355.3   265.5    63.8   131.9   154.7   320.2   393.8   439.9   475.3   519.6   581.4   682.4   931.8  2199.9 10376.3  95488.5    95192
read      338.9   249.6    68.9   126.4   145.0   307.4   381.4   426.5   459.7   499.0   549.7   628.5   894.7  2465.8  6962.4  68920.5    69200
read      374.9   401.3    68.9   122.3   140.9   308.5   386.4   435.2   474.3   524.3   598.5   876.7  1548.4  4654.2 11177.5  49411.5    49459
read      436.8   864.0    74.4   123.7   141.9   307.1   405.1   475.6   539.7   640.3   805.8   989.9  1599.8 10656.8 32178.9  29300.0    29055
read      405.5   449.8    74.4   131.2   152.1   322.4   407.7   463.2   504.6   557.9   635.2   889.9  1924.7  5465.6 13970.2  64337.5    64324
read      613.6  2327.3    80.4   140.4   174.4   304.9   345.3   370.0   390.0   415.0   455.4   613.3  9732.7 32326.0 39818.0   5699.5     5705
read      443.2   532.0    74.4   136.1   159.8   342.5   420.2   472.8   523.2   593.6   702.2  1348.3  2030.6  5868.0 17743.6  84389.0    84816
read      525.6  1374.5    74.4   120.7   140.2   326.9   442.9   528.9   610.9   700.5   803.2   963.1  5822.5 24427.8 37574.3  23864.0    23714
read      403.2   497.3    68.9   131.0   152.6   325.0   406.2   458.5   500.7   555.0   631.9   822.5  1860.7  5661.9 15815.8  74426.5    74116
read      486.5  1252.4    74.4   120.9   139.3   323.0   430.1   502.9   558.5   624.5   701.8   835.7  5543.7 16153.7 35135.3  19935.0    19948
read      383.9   586.8    68.9   123.0   141.1   310.7   385.8   432.2   469.8   516.6   580.2   744.8  1676.9  8817.9 28266.1  44009.5    44213
read      525.7  1517.4    74.4   124.3   143.0   328.5   433.6   502.3   556.8   624.0   708.5   857.4  6307.2 29238.3 37689.4  19393.0    19454
read      699.7  2584.5    74.4   131.9   161.1   313.5   364.9   395.9   419.8   449.2   496.1  1002.6 10207.6 35765.1 40237.8   7249.5     7190
read      399.3   677.7    68.9   124.6   143.3   317.9   396.6   443.8   480.2   527.4   592.2   819.2  1842.9  7492.8 30358.0  47479.0    47657
read      391.6   449.4    74.4   123.7   143.0   314.3   392.1   441.5   480.1   532.6   619.9  1006.8  1689.8  4245.2 15770.6  44510.0    44399
read      540.3  2049.9    80.4   135.2   163.3   293.6   342.7   369.9   390.7   417.3   459.7   555.3  7801.1 35904.8 42080.8   6614.5     6481
read      739.1  2756.9    86.8   140.5   173.8   310.2   356.8   384.2   406.0   435.4   492.3  1480.0 10634.4 37999.0 42958.1   5907.0     5807
read      491.8   618.5    74.4   140.1   167.0   351.7   434.0   502.9   568.4   650.7   798.5  1611.5  2393.3  5107.3 20152.1  82263.5    83137
read      445.6  1470.0    74.4   124.6   143.2   288.9   341.2   373.8   399.7   433.3   478.0   564.9  5988.3 29057.3 37077.9   9582.0     9580
read      378.7   562.1    68.9   124.9   143.5   311.3   383.1   429.9   466.7   510.3   573.0   745.9  1501.5  9553.5 26911.8  37354.0    37385
read      383.4   411.7    68.9   125.0   143.1   307.4   386.1   440.6   482.3   534.4   625.0   922.4  1571.8  5815.9  7505.7  33831.0    33706
read      401.3   609.9    74.4   121.6   140.1   310.6   393.3   450.1   494.0   547.6   641.3   942.9  1895.5  7097.2 30398.3  35296.5    35204
read      365.1   427.1    68.9   125.7   144.3   319.1   398.8   444.1   477.5   519.7   573.3   658.9  1283.2  6425.1 19217.3  50263.5    50438
read      368.1   381.6    74.4   125.2   144.0   323.0   406.1   456.0   490.7   531.6   585.1   676.4  1310.8  5037.1 16671.0  48841.5    48878
read      399.8   460.1    68.9   124.0   142.6   320.2   406.0   462.1   504.8   562.6   654.7   996.3  1668.2  4907.4 14086.3  42541.5    42682
read      410.3   745.1    68.9   118.9   136.6   308.7   401.9   462.6   509.0   574.4   694.9   888.8  1585.1 10670.3 32118.5  27526.0    27416
read      406.5   618.3    68.9   128.0   147.5   316.5   399.8   451.9   492.6   543.5   617.4   855.9  1992.0  7628.1 25956.2  64334.5    64424
read      350.5   297.9    68.9   125.9   144.4   312.3   388.0   431.6   464.9   506.3   562.0   645.9  1269.1  2596.1  8854.8  64083.0    64364
read      528.1  2182.6    80.4   135.6   162.0   266.9   306.2   328.4   345.4   368.9   407.6   588.7  7449.7 31924.3 37165.5   5486.0     5481
read      628.4  1709.3    74.4   121.1   141.2   322.4   475.3   626.9   728.2   825.0   933.1  1171.1  7907.2 29290.1 40220.0  26088.5    26227
read      613.9  1698.4    68.9   120.5   140.6   323.3   473.9   622.8   721.6   828.0   942.8  1152.2  7692.7 30973.6 38953.7  26590.5    26586
read      422.7   496.9    68.9   136.2   159.7   341.6   421.8   473.5   518.7   581.5   674.0   879.7  1953.0  5033.8 20075.4  86384.5    86286
read      516.3  1316.4    74.4   122.0   141.5   325.5   442.8   526.3   604.7   705.7   818.8   981.0  4754.4 16319.7 37360.6  24462.0    24452
read      597.6  1578.9    68.9   120.4   139.4   329.1   465.0   601.3   715.3   815.5   929.6  1141.7  6449.6 29232.8 39763.0  26895.5    26832
read      340.3   386.8    68.9   121.8   139.8   302.5   369.6   413.7   448.2   486.8   534.9   622.5  1130.5  2750.4 15099.6  29856.5    29795
read      345.2   267.2    68.9   122.7   140.9   312.6   383.3   426.3   458.5   497.9   546.9   625.1  1203.0  3024.8  8427.0  46159.5    46224
read      372.9   431.5    68.9   130.2   151.5   319.1   393.5   439.2   475.4   523.9   591.9   697.9  1472.4  5602.6 14124.4  84502.5    84587
read      357.7   304.6    74.4   129.2   148.1   314.7   394.2   441.1   475.4   518.0   574.8   666.2  1249.4  3158.2 10001.8  63307.0    63389
read      400.8   493.2    68.9   127.7   146.5   315.4   400.1   456.0   499.2   554.2   644.6   995.0  1736.2  5360.2 20837.5  46873.5    46953
read      375.6   464.7    74.4   133.8   156.0   319.7   393.1   440.1   478.6   528.9   598.1   707.6  1298.4  5621.9 16261.3  90074.0    90536
read      547.2  1821.2    74.4   124.3   144.2   329.0   403.5   451.5   484.3   521.4   569.7   674.7  6955.0 31591.1 41795.2  12486.0    12508
read      448.2  1014.8    74.4   126.7   146.0   320.5   398.9   450.6   493.2   546.3   639.6  1022.1  2252.0 12467.5 32343.6  38623.0    38491
read      400.1   421.8    74.4   139.2   164.0   343.5   420.2   466.5   505.9   560.3   638.9   778.6  1651.1  4383.4  9397.6  97728.0    97806
read      528.7  1723.0    74.4   122.2   141.4   309.8   381.4   430.5   465.4   506.3   562.4   688.7  7146.9 31348.4 37423.2  11868.5    11813
read      410.8   746.5    68.9   123.8   142.6   315.5   387.4   436.2   474.9   527.6   609.1   971.0  1809.4 11423.6 31748.5  39660.0    39665
read      353.2   357.9    74.4   125.6   143.9   317.2   391.7   434.3   466.8   508.1   560.5   640.4  1127.4  3874.5 12546.9  53495.0    53571
read      367.6   349.6    68.9   127.2   146.0   319.1   401.0   448.0   483.1   527.2   585.3   684.8  1533.5  3528.7  9074.2  62981.5    63215
read      367.1   351.2    68.9   130.8   151.3   321.2   399.2   446.9   484.0   531.8   594.0   702.9  1282.7  3154.9 12017.5  79083.5    78767
read      520.3  1727.7    74.4   128.8   152.4   315.4   371.1   405.1   431.4   462.3   505.5   599.6  6943.0 30225.6 44700.4   8724.5     8615
read      413.7   638.2    68.9   130.1   150.0   319.2   402.2   456.9   501.1   556.5   633.3   876.0  2104.7  7671.4 29235.1  67750.5    67903
read      513.0  1536.6    74.4   122.0   141.3   336.5   426.5   479.1   522.2   575.0   641.9   767.1  5921.5 30949.4 37132.6  16439.5    16398
read      411.4   607.5    68.9   126.5   145.5   321.1   404.0   457.3   497.2   547.1   623.2   913.0  1967.0  7111.0 30855.9  53474.5    53434
read      420.1   737.0    74.4   122.4   141.3   313.1   396.1   452.8   498.5   556.6   662.0  1019.5  2021.7  6786.6 32140.6  37962.5    38068
read      509.5  1711.0    80.4   130.7   152.6   309.4   360.5   392.3   416.1   445.3   488.6   584.9  7536.3 29049.2 40045.5   9150.0     9130
read      394.4   375.0    68.9   126.7   147.4   319.8   402.3   455.8   497.9   550.8   628.0   834.1  1943.6  3603.1  8489.8  68844.0    69227
read      387.0   546.0    74.4   123.2   141.7   310.6   381.9   430.8   469.1   520.9   607.1   966.0  1563.8  6125.7 29556.3  37504.5    37496
read      371.0   324.2    68.9   131.3   152.7   324.7   402.3   449.4   485.7   532.4   598.3   709.9  1247.7  3741.4  6963.3  84125.5    83925
read      355.9   343.6    68.9   126.7   145.1   315.5   395.3   441.0   474.6   515.9   569.1   649.7  1150.6  3894.8 11601.8  51050.0    51037
read      384.5   416.9    68.9   124.0   143.2   314.2   398.7   454.4   496.3   547.9   639.8   912.6  1405.9  4955.2 15241.6  33534.5    33690
read      358.7   328.4    68.9   124.9   144.0   318.2   397.0   442.2   476.9   518.9   574.1   672.2  1303.3  2980.3 10937.1  51659.5    51474
